cluster	gene_name	gene_id	isTF	E9.5VSE10.5_l2fc	E9.5VSE10.5_padj	E10.5VSE11.5_l2fc	E10.5VSE11.5_padj	E11.5VSE12.5_l2fc	E11.5VSE12.5_padj
Ect1	Tfap2b	ENSMUSG00000025927	TRUE	-1.7747535144085	1.94827103838429e-06	NA	NA	NA	NA
Ect1	Cldn1	ENSMUSG00000022512	FALSE	-2.35006427168207	7.75648506233965e-11	NA	NA	NA	NA
Ect2	Zfp750	ENSMUSG00000039238	FALSE	-5.56364106382013	5.65443997727026e-30	NA	NA	NA	NA
Ect2	Rhov	ENSMUSG00000034226	FALSE	-6.07005070564909	2.49703525082021e-26	NA	NA	NA	NA
Ect1	Adgrl3	ENSMUSG00000037605	FALSE	-2.74009552979761	1.0230533557171e-10	NA	NA	NA	NA
Ect6	Fut8	ENSMUSG00000021065	FALSE	NA	NA	NA	NA	NA	NA
Ect6	Man1c1	ENSMUSG00000037306	FALSE	1.70258960945096	2.268948966471e-08	NA	NA	NA	NA
Ect6	Hoxb5	ENSMUSG00000038700	TRUE	3.59234342583404	2.10235503790674e-09	NA	NA	NA	NA
Ect1	Chst15	ENSMUSG00000030930	FALSE	-2.36302360238928	1.20169103480061e-11	NA	NA	NA	NA
Ect6	Foxj1	ENSMUSG00000034227	TRUE	1.93562603054858	4.72537016445188e-05	NA	NA	NA	NA
Ect1	Cpt1a	ENSMUSG00000024900	FALSE	-3.18588437599105	1.03295612247574e-12	NA	NA	NA	NA
Ect6	Ldoc1	ENSMUSG00000057615	FALSE	1.94925320899302	8.13604506286114e-05	-2.65983766798978	0.0292020724090208	NA	NA
Ect1	Anxa2	ENSMUSG00000032231	FALSE	-2.5373352282195	7.48380905304915e-20	NA	NA	NA	NA
Ect1	Itgb4	ENSMUSG00000020758	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Dock8	ENSMUSG00000052085	FALSE	NA	NA	NA	NA	NA	NA
Ect6	Crb2	ENSMUSG00000035403	FALSE	1.92750767654697	2.09719974772988e-06	NA	NA	NA	NA
Ect1	Gnai1	ENSMUSG00000057614	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Klf4	ENSMUSG00000003032	TRUE	NA	NA	NA	NA	NA	NA
Ect6	Pkdcc	ENSMUSG00000024247	FALSE	2.25185133191498	2.71214813287042e-13	NA	NA	NA	NA
Ect6	Bnip3	ENSMUSG00000078566	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Npr3	ENSMUSG00000022206	FALSE	NA	NA	NA	NA	3.764461737494	4.48846234956893e-17
Ect1	Synpo2	ENSMUSG00000050315	FALSE	-2.43364018049691	1.78596621877649e-06	NA	NA	1.62524828011014	0.00744399180104147
Ect1	Fndc1	ENSMUSG00000071984	FALSE	NA	NA	NA	NA	4.00339176747239	5.90980892438344e-11
Ect2	Tnfaip2	ENSMUSG00000021281	FALSE	-5.68543092446574	2.04494109334431e-35	NA	NA	NA	NA
Ect6	Parvb	ENSMUSG00000022438	FALSE	1.72995592532181	1.26138119473348e-07	NA	NA	NA	NA
Ect6	Hgf	ENSMUSG00000028864	FALSE	2.28906023528723	5.42715155469287e-11	NA	NA	NA	NA
Ect4	Hoxb4	ENSMUSG00000038692	TRUE	2.39392629031521	6.31174374613257e-07	NA	NA	NA	NA
Ect1	Cavin1	ENSMUSG00000004044	TRUE	-2.16612510080805	0.00317099479667956	1.55968618390557	0.00886609183294357	1.89526504977492	0.000350954235347712
Ect1	Dpp4	ENSMUSG00000035000	FALSE	-4.23775813924564	3.52324011520567e-05	NA	NA	NA	NA
