cluster	gene_name	gene_id	isTF	E9.5VSE10.5_l2fc	E9.5VSE10.5_padj	E10.5VSE11.5_l2fc	E10.5VSE11.5_padj	E11.5VSE12.5_l2fc	E11.5VSE12.5_padj
Mes4	Tmem26	ENSMUSG00000060044	FALSE	-2.08765524958894	6.67861967935322e-06	1.55539949238804	0.000342586930388818	NA	NA
Mes5	Chd3	ENSMUSG00000018474	FALSE	-3.16670246349134	1.44362618793953e-26	NA	NA	NA	NA
Mes3	Hoxd9	ENSMUSG00000043342	TRUE	1.5859807434018	1.49509644515581e-06	-1.94304742188054	1.4070444846467e-06	NA	NA
Mes5	Zic3	ENSMUSG00000067860	TRUE	-5.28706012138193	8.27007045704728e-58	NA	NA	NA	NA
Mes1	Rarb	ENSMUSG00000017491	TRUE	7.31439936881531	3.02300277890219e-54	NA	NA	2.5104700269186	0.0310011103716424
Mes4	Atp6v1g3	ENSMUSG00000026394	FALSE	-8.01281538440775	3.46521143862887e-05	2.86595322362233	1.02188732179348e-08	NA	NA
Mes1	Nr2f1	ENSMUSG00000069171	TRUE	5.43884822517237	1.26833368007103e-46	NA	NA	NA	NA
Mes4	Rprm	ENSMUSG00000075334	FALSE	-3.67800019021623	0.000120904144202975	3.43443256803277	1.09901619718728e-12	NA	NA
Mes1	Lbx1	ENSMUSG00000025216	TRUE	6.80866402737542	4.20300423454233e-21	NA	NA	NA	NA
Mes1	Hoxb2	ENSMUSG00000075588	TRUE	4.12725409584347	4.59792401862289e-28	NA	NA	NA	NA
Mes5	Bcl11a	ENSMUSG00000000861	TRUE	-3.91431020735006	6.92926911913165e-29	NA	NA	NA	NA
Mes1	Hoxa1	ENSMUSG00000029844	TRUE	5.26013180474194	8.78698927725236e-25	NA	NA	NA	NA
Mes3	Prtg	ENSMUSG00000036030	FALSE	3.60839724748042	2.39318584974142e-29	-2.67868055198687	2.19417171755552e-06	NA	NA
Mes5	Hoxd13	ENSMUSG00000001819	TRUE	-5.95432628249624	1.5954088829536e-65	NA	NA	NA	NA
Mes4	Emp1	ENSMUSG00000030208	FALSE	NA	NA	1.6132864996537	5.15662380238206e-06	NA	NA
Mes1	Plxna2	ENSMUSG00000026640	FALSE	1.98396207514223	2.22343519933821e-09	NA	NA	NA	NA
Mes5	Cep170b	ENSMUSG00000072825	FALSE	-3.03235616915773	4.00347900691353e-22	NA	NA	NA	NA
Mes4	Mme	ENSMUSG00000027820	FALSE	-2.72263001668653	6.34658101743499e-13	NA	NA	NA	NA
Mes5	Cbln1	ENSMUSG00000031654	FALSE	-5.54314343749356	1.31872666743488e-53	NA	NA	-1.68514364766959	0.00189136075664443
Mes5	Map2	ENSMUSG00000015222	FALSE	-2.01661173600974	1.47271772464012e-07	NA	NA	NA	NA
Mes1	Hoxb7	ENSMUSG00000038721	TRUE	4.41328633544164	2.54153038631165e-17	NA	NA	NA	NA
Mes4	Fat4	ENSMUSG00000046743	FALSE	-2.17131701476831	4.940460159751e-10	NA	NA	NA	NA
